mood,count
Tender ,13
"[""Melancholy"" ""Light Melancholy""]",12
Light Melancholy,12
Serious,12
Upbeat,11
"[""Excited"" ""Upbeat Pop Groove""]",11
Upbeat Pop Groove,11
"[""Rowdy"" ""Confident "" "" Tough""]",10
 Tough,10
Confident ,10
"[""Aggressive"" ""Aggressive Power""]",10
Aggressive Power,10
"[""Fiery"" ""Fiery Groove""]",9
Fiery Groove,9
"[""Gritty"" ""Sober "" "" Determined""]",9
 Determined,9
Sober ,9
"[""Fiery"" ""Passionate Rhythm""]",8
Passionate Rhythm,8
"[""Energizing"" ""Arousing Groove""]",8
Arousing Groove,8
"[""Excited"" ""Happy Excitement""]",8
Happy Excitement,8
Peaceful,8
"[""Serious"" ""Thrilling""]",8
Thrilling,8
Tender,8
"[""Energizing"" ""Heavy Beat""]",7
Heavy Beat,7
"[""Melancholy"" ""Sad "" "" Soulful""]",7
Sad ,7
"[""Sophisticated"" ""Suave "" "" Sultry""]",7
 Sultry,7
Suave ,7
Easygoing,7
"[""Rowdy"" ""Ramshackle "" "" Rollicking""]",7
 Rollicking,7
Ramshackle ,7
"[""Empowering"" ""Idealistic "" "" Stirring""]",6
 Stirring,6
Idealistic ,6
"[""Upbeat"" ""Happy "" "" Soulful""]",6
Happy ,6
"[""Sentimental"" ""Lyrical Sentimental""]",6
Lyrical Sentimental,6
"[""Defiant"" ""Attitude "" "" Defiant""]",6
Attitude ,6
"[""Other""]",6
Other,6
"[""Tender"" ""Romantic "" "" Lyrical""]",6
 Lyrical,6
Romantic ,6
"[""Sensual"" ""Sensual Groove""]",5
Sensual Groove,5
Stirring,5
"[""Cool"" ""Cool Confidence""]",5
Cool Confidence,5
"[""Yearning"" ""Energetic Dreamy""]",5
Energetic Dreamy,5
"[""Romantic"" ""Heartfelt Passion""]",5
Heartfelt Passion,5
"[""Sentimental"" ""Gentle Bittersweet""]",5
Gentle Bittersweet,5
"[""Aggressive"" ""Chaotic "" "" Intense""]",5
 Intense,5
Chaotic ,5
"[""Aggressive"" ""Dark Hard Beat""]",5
Dark Hard Beat,5
"[""Sensual"" ""Intimate""]",5
Intimate,5
Lively,5
"[""Easygoing"" ""Friendly""]",5
Friendly,5
"[""Somber"" ""Creepy "" "" Ominous""]",4
 Ominous,4
Creepy ,4
 Easygoing,4
"[""Excited"" ""Loud Celebratory""]",4
Loud Celebratory,4
"[""Urgent"" ""Dark Urgent""]",4
Dark Urgent,4
"[""Empowering"" ""Strong "" "" Stable""]",3
 Stable,3
Strong ,3
"[""Peaceful"" ""Quiet "" "" Introspective""]",3
 Introspective,3
Quiet ,3
"[""Yearning"" ""Bittersweet Pop""]",3
Bittersweet Pop,3
"[""Gritty"" ""Gritty "" "" Soulful""]",3
Gritty ,3
"[""Lively"" ""Playful "" "" Swingin'""]",3
 Swingin',3
Playful ,3
"[""Upbeat"" ""Soulful "" "" Easygoing""]",3
Soulful ,3
"[""Peaceful"" ""Pastoral "" "" Serene""]",3
 Serene,3
Pastoral ,3
"[""Energizing"" ""Abstract Beat""]",3
Abstract Beat,3
"[""Sensual"" ""Soft Soulful""]",3
Soft Soulful,3
"[""Sophisticated"" ""Dark Playful""]",2
Dark Playful,2
"[""Melancholy"" ""Mysterious "" "" Dreamy""]",2
 Dreamy,2
Mysterious ,2
"[""Upbeat"" ""Carefree Pop""]",2
Carefree Pop,2
"[""Sentimental"" ""Cool Melancholy""]",2
Cool Melancholy,2
"[""Serious"" ""Hypnotic Rhythm""]",2
Hypnotic Rhythm,2
"[""Stirring"" ""Invigorating "" "" Joyous""]",2
 Joyous,2
Invigorating ,2
"[""Stirring"" ""Jubilant "" "" Soulful""]",2
Jubilant ,2
"[""Sophisticated"" ""Intimate Bittersweet""]",2
Intimate Bittersweet,2
"[""Fiery"" ""Dark Sparkling Lyrical""]",2
Dark Sparkling Lyrical,2
"[""Gritty"" ""Depressed "" "" Lonely""]",2
 Lonely,2
Depressed ,2
"[""Peaceful"" ""Reverent "" "" Healing""]",2
 Healing,2
Reverent ,2
"[""Romantic"" ""Sweet "" "" Sincere""]",1
Sweet ,1
"[""Tender"" ""Awakening "" "" Stately""]",1
 Stately,1
Awakening ,1
"[""Easygoing"" ""Cheerful "" "" Playful""]",1
 Playful,1
Cheerful ,1
"[""Stirring"" ""Focused Sparkling""]",1
Focused Sparkling,1
"[""Tender"" ""Refined "" "" Mannered""]",1
 Mannered,1
Refined ,1
"[""Lively"" ""Lusty "" "" Jaunty""]",1
 Jaunty,1
Lusty ,1
"[""Serious"" ""Serious "" "" Cerebral""]",1
 Cerebral,1
Serious ,1
"[""Fiery"" ""Energetic Abstract Groove""]",1
Energetic Abstract Groove,1
"[""Easygoing"" ""Charming "" "" Easygoing""]",1
Charming ,1
"[""Rowdy"" ""Wild "" "" Rowdy""]",1
 Rowdy,1
Wild ,1
"[""Somber"" ""Solemn "" "" Spiritual""]",1
 Spiritual,1
Solemn ,1
"[""Serious"" ""Melodramatic""]",1
Melodramatic,1
"[""Somber"" ""Dark Cosmic""]",1
Dark Cosmic,1
"[""Lively"" ""Showy "" "" Rousing""]",1
 Rousing,1
Showy ,1
