genre,count
Alternative a Punk/Indie Rock/Dream Pop,2
Dream Pop,2
Alternative a Punk/Indie Rock/Post-Punk Revival,2
Post-Punk Revival,2
Other Classical,2
Electronica/Downtempo Lounge a Ambient/Trip Hop,2
Trip Hop,2
Downtempo Lounge a Ambient,2
Punk,2
Alternative a Punk/Indie Rock/Indie Pop,2
Indie Pop,2
Animation,2
Alternative a Punk/Alternative Folk/Alternative Folk,2
Other/Religious/Christian Rock a Metal,2
Christian Rock a Metal,2
Pop/European Pop/Eastern European Pop,2
Eastern European Pop,2
Urban/Western Hip-Hop/Rap/Southern Rap,2
Southern Rap,2
Rock/Metal/Progressive Metal,2
Progressive Metal,2
Rock/Metal/Power Metal,1
Power Metal,1
Traditional/Folk/Contemporary U.S. Folk,1
Contemporary U.S. Folk,1
Folk,1
Alternative a Punk/Punk/General Punk,1
General Punk,1
Electronica/Techno/General Techno,1
General Techno,1
Techno,1
Pop/Pops a Nostalgia/Pops Dance,1
Pops Dance,1
Pops a Nostalgia,1
Urban/Western Hip-Hop/Rap/Mixtape,1
Mixtape,1
Soundtrack/Original Film/TV Music/Sci-Fi Film/TV Music,1
Sci-Fi Film,1
Rock/Metal/Thrash Metal,1
Thrash Metal,1
Other/Latin Rock/Latin Alternative,1
Latin Alternative,1
Latin Rock,1
Urban/Contemporary RaB/Soul/Contemporary RaB,1
Pop/Western Pop/Urban Crossover: Pop,1
Urban Crossover: Pop,1
Soundtrack/Original Film/TV Music/Musical Film/TV Music,1
Musical Film,1
Rock/Hard Rock/General Hard Rock,1
General Hard Rock,1
Hard Rock,1
Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,1
European Hip-Hop,1
Traditional/European Traditional/French Traditional,1
French Traditional,1
European Traditional,1
Electronica/House/Classic House,1
Classic House,1
Pop/European Pop/Mediterranean Pop,1
Mediterranean Pop,1
Rock/Alternative Roots/Roots Rock,1
Roots Rock,1
Alternative Roots,1
Pop/Western Pop/Adult Contemporary,1
Adult Contemporary,1
Electronica/House/Tech House,1
Tech House,1
Other/Religious/Hymns a Spirituals,1
Hymns a Spirituals,1
Rock/70's Rock/Classic Prog,1
Classic Prog,1
Pop/Japanese Pop/J-Pop,1
J-Pop,1
Japanese Pop,1
Alternative a Punk/Alternative/Alternative Pop,1
Alternative Pop,1
Soundtrack/Game Music/Game Music,1
Traditional/Country/Contemporary Country,1
Contemporary Country,1
Country,1
Rock/70's Rock/Classic Soft Rock,1
Classic Soft Rock,1
Classical/Other Classical/Classical Solo Instrumental,1
Classical Solo Instrumental,1
Other/Religious/Christian Inspirational,1
Christian Inspirational,1
Classical/Other Classical/Classical Vocal,1
Classical Vocal,1
Alternative a Punk/Indie Rock/General Indie Rock,1
General Indie Rock,1
Alternative a Punk/Punk/Pop Punk,1
Pop Punk,1
Rock/Metal/Speed Metal,1
Speed Metal,1
Soundtrack/Animation/Animation,1
Rock/Metal/Industrial Metal,1
Industrial Metal,1
Other/Religious/Gospel Choir,1
Gospel Choir,1
Rock/Metal/Heavy Metal,1
Heavy Metal,1
Classical/Classical Crossover/Classical Crossover Vocal,1
Classical Crossover Vocal,1
Jazz/Bebop a Modern Jazz/Modern Jazz,1
Modern Jazz,1
Bebop a Modern Jazz,1
Jazz,1
Pop/Chinese Pop/General Chinese Pop,1
General Chinese Pop,1
Chinese Pop,1
Pop/European Pop/Euro Pop,1
Euro Pop,1
Other/Spoken Word/General Spoken Word,1
General Spoken Word,1
Spoken Word,1
