Artist,Title,genre_id
Axel Rudi Pell,Long Way To Go,18
Edward Sharpe and The Magnetic Zeros,Home,21
Justice,D.A.N.C.E,2
Armin Van Buuren ft. Sharon Den Adel,In And Out Of Love,11
Ingrid Michaelson,Time Machine,18
Stereophonics,In A Moment,21
Друга Ріка (РЕКОРДИ),Сам собі острів,1
Один в каное,Небо,18
Один в каное,Дерево,18
Один в каное,Човен,1001
AtmAsfera ,Fly away (Internal),18
Black Maloka,The Machine,1
The Maneken ,Sunbeam Girl ,18
Один в каное,Лю,18
The Maneken,Magic Of The Moment,18
ПЛЕСО,Іди До Людей,1001
THE HARDKISS,Hurricane (official),1001
Ellie Goulding,Stay Awake (prod. by Madeon),18
No Doubt,Its My Life,2
Shunsuke Kida,Penetrator,18
 Shunsuke Kida ,06 - Phalanx,18
Giles Palmer & Rupert Pope,Butterfly,21
Аквариум,Город Золотой,1
Velojet,I Follow My Heart,18
OONA,Shout!,18
 Hans Zimmer,Interstellar: Main Theme ,1001
Ramona Falls,Melectric,18
MØ,Don’t Wanna Dance,22
Зеркальная Маска (Mirrormask) 2005 ,24. Iain Ballamy - Close To Yo  - (MirrorMask OST (2005),2
Boy Kill Boy,Promises,1
Echosmith,Cool Kids,17
The Constellations,Perfect Day,18
Blind,Time Is Running Out,21
8th,Black Sheep,18
ProleteR,April Showers,18
Michael Kiske & Amanda Somerville,Silence,18
Sad Alice Said,Open Your Eyes,21
Petr Elfimov,Eyes That Never Lie (Eurovision 2009 - Belarus),2
Michael Kiske & Amanda Somerville,If I Had A Wish,18
Revolution Renaissance,I Did It My Way (Lead Vocals Michael Kiske),18
Michael Kiske & Amanda Somerville,End Of The Road,18
Eicca Toppinen,Evil Ground,2
Rave The Reqviem,The Svlphvry Void,7
Marie Laforet,"Ivan, Boris et Moi",18
Gotthard,"I Know, You Know",1
KT Tunstall,Saving My Face,18
Marco Hietala,Reach (,18
kasiopea,Take Me Home,131
Мертвий Півень та Крихітка Цахес,Б'ютіфул Карпати,1
Reamon,"Sometimes(OST ""Кит"")",18
The Hardkiss,In﻿ Love,1001
The Hardkiss,Stones ,1001
The Hardkiss ,October,18
Frank Sinatra,Killing Me Softly With Her Song,18
