mood,count
 Heroic,14
Powerful ,14
Defiant/Attitude / Defiant,14
Attitude ,14
Peaceful,13
Sentimental/Tender / Sincere,13
Tender ,13
Rowdy/Wild / Rowdy,12
 Rowdy,12
Wild ,12
Energizing/Heavy Beat,12
Heavy Beat,12
Easygoing,12
Melancholy/Sad / Soulful,11
Sad ,11
Energizing/Abstract Beat,10
Abstract Beat,10
Sentimental/Gentle Bittersweet,10
Gentle Bittersweet,10
Excited/Happy Excitement,10
Happy Excitement,10
Stirring,10
Other,10
Other,10
 Rousing,10
Romantic/Heartfelt Passion,9
Heartfelt Passion,9
Upbeat/Happy / Soulful,9
Happy ,9
 Easygoing,9
Rowdy/Ramshackle / Rollicking,9
 Rollicking,9
Ramshackle ,9
Sensual/Sensual Groove,8
Sensual Groove,8
Excited/Loud Celebratory,8
Loud Celebratory,8
Sensual/Intimate,8
Intimate,8
Cool/Cool Confidence,8
Cool Confidence,8
Lively/Showy / Rousing,8
Showy ,8
Fiery/Energetic Abstract Groove,7
Energetic Abstract Groove,7
Peaceful/Reverent / Healing,7
 Healing,7
Reverent ,7
Empowering/Idealistic / Stirring,7
 Stirring,7
Idealistic ,7
Energizing/Arousing Groove,7
Arousing Groove,7
Sophisticated/Suave / Sultry,7
 Sultry,7
Suave ,7
Upbeat/Carefree Pop,6
Carefree Pop,6
Tender,6
Yearning/Bittersweet Pop,6
Bittersweet Pop,6
Upbeat/Soulful / Easygoing,6
Soulful ,6
Fiery/Dark Sparkling Lyrical,6
Dark Sparkling Lyrical,6
Lively/Lusty / Jaunty,5
 Jaunty,5
Lusty ,5
Sophisticated/Intimate Bittersweet,5
Intimate Bittersweet,5
Somber/Solemn / Spiritual,5
 Spiritual,5
Solemn ,5
Easygoing/Friendly,5
Friendly,5
Romantic/Lush / Romantic,4
Lush ,4
Sentimental/Lyrical Sentimental,4
Lyrical Sentimental,4
Somber/Dark Cosmic,4
Dark Cosmic,4
Gritty/Depressed / Lonely,4
 Lonely,4
Depressed ,4
Serious/Hypnotic Rhythm,4
Hypnotic Rhythm,4
Tender/Light Groovy,3
Light Groovy,3
Easygoing/Cheerful / Playful,3
 Playful,3
Cheerful ,3
Upbeat/Party / Fun,3
 Fun,3
Party ,3
Sentimental/Cool Melancholy,3
Cool Melancholy,3
Serious/Serious / Cerebral,3
 Cerebral,3
Serious ,3
Peaceful/Quiet / Introspective,3
 Introspective,3
Quiet ,3
Serious/Melodramatic,3
Melodramatic,3
Stirring/Focused Sparkling,3
Focused Sparkling,3
Sensual/Soft Soulful,3
Soft Soulful,3
Stirring/Invigorating / Joyous,3
 Joyous,3
Invigorating ,3
Easygoing/Charming / Easygoing,3
Charming ,3
Excited/Upbeat Pop Groove,3
Upbeat Pop Groove,3
Stirring/Jubilant / Soulful,2
Jubilant ,2
Stirring/Triumphant / Rousing,2
Triumphant ,2
Tender/Refined / Mannered,2
 Mannered,2
Refined ,2
Lively/Playful / Swingin',2
 Swingin',2
Playful ,2
Peaceful/Pastoral / Serene,2
 Serene,2
Pastoral ,2
Cool/Casual Groove,2
Casual Groove,2
Romantic/Sweet / Sincere,2
Sweet ,2
Lively/Exuberant / Festive,2
 Festive,2
Exuberant ,2
Peaceful/Delicate / Tranquil,1
 Tranquil,1
Delicate ,1
Melancholy/Mysterious / Dreamy,1
 Dreamy,1
Mysterious ,1
Tender/Awakening / Stately,1
 Stately,1
Awakening ,1
Easygoing/Hopeful / Breezy,1
 Breezy,1
Hopeful ,1
